Age: 24
Experience: yes
Programming Level: intermediate
Familiarity with camelCase/kebab-case: yes

Task,Sentence,Selected Identifier,Correct Identifier,Is Correct,Time Taken
1,open door,openDoor,openDoor,true,2.932
2,debug issue,debug-issue,debug-issue,true,2.487
3,jump high,jump-high,jump-high,true,2.305
4,open door,open-door,open-door,true,2.57
5,debug issue,debugIssue,debugIssue,true,3.962
6,move south,moveSouth,moveSouth,true,1.47
7,test function,testFunction,testFunction,true,1.509
8,run fast,runFast,runFast,true,2.606
9,test function,test-function,test-function,true,2.724
10,play game,playGame,playGame,true,1.966
11,close window,closeWindow,closeWindow,true,3.413
12,jump high,jumpHigh,jumpHigh,true,2.315
13,close window,close-window,close-window,true,2.506
14,move south,move-south,move-south,true,1.884
15,play game,play-game,play-game,true,1.346
16,run fast,run-fast,run-fast,true,1.461
17,read book,read-book,read-book,true,2.08
18,read book,reaeBook,readBook,false,2.021
19,write code,writeCode,writeCode,true,1.642
20,write code,write-code,write-code,true,3.551
